id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30398077,A large Sunny Bedroom in Astoria,132801944,Shampa,Queens,Astoria,40.7686,-73.91354,Private room,120,2,4,2019-05-13,0.62,2,0
31205829,Bedroom in Bushwick!,6403404,Lisa,Brooklyn,Bushwick,40.69984,-73.92163000000001,Private room,40,2,14,2019-06-25,2.28,1,54
22636145,Private Suite in NYC 15 minutes to Times Square,157979999,Ayesha,Queens,Sunnyside,40.74648,-73.91919,Private room,60,1,76,2019-06-30,4.43,1,301
293837,"Big Apt for Funky Art /Music Lovers, Outdoor Patio",1495502,Olly,Brooklyn,Williamsburg,40.707359999999994,-73.94331,Entire home/apt,157,4,54,2019-06-11,0.66,2,12
39282,Indie-Chic Share In Williamsburg,168525,Gus,Brooklyn,Williamsburg,40.710879999999996,-73.95055,Private room,69,4,202,2019-05-28,1.86,2,53
21983105,Cute Loft in the Heart of Greenpoint Brooklyn!,156976885,Carrie,Brooklyn,Greenpoint,40.72549,-73.94453,Entire home/apt,120,3,0,,,1,0
23566549,Harlem Gem,139935139,LeMar,Manhattan,Harlem,40.81061,-73.95125,Entire home/apt,150,2,12,2019-07-06,0.8,1,0
2477138,Private Room: The cheapest deal!!,9089934,Siddharth,Queens,Ozone Park,40.67948,-73.85335,Private room,30,7,0,,,1,0
11089123,Awesome bedroom in 2br apartment <3,15231059,Apollo,Manhattan,Lower East Side,40.72118,-73.98875,Private room,100,3,19,2019-04-30,0.46,4,303
34865775,Lovely LES apartment,137949496,Dolev,Manhattan,Lower East Side,40.72081,-73.99069,Entire home/apt,110,7,2,2019-06-23,2.0,1,0
16976026,Cheap Family home with desk 10 mn to JFK+Mall,107455767,Guelma,Queens,Rosedale,40.65292,-73.73652,Private room,45,14,70,2019-06-24,2.38,5,281
141335,Architect's Brownstone,687361,Orna,Brooklyn,Park Slope,40.67535,-73.97654,Entire home/apt,495,1,35,2018-01-13,0.41,1,355
2454504,Center Park Slope 2 Bedroom Townhouse Apartment,6718172,Sharon,Brooklyn,Park Slope,40.67348,-73.9779,Entire home/apt,189,7,13,2019-06-20,0.39,1,33
36334586,4min walk to Times Square! Cozy and very clean!,262999899,Eduard,Manhattan,Hell's Kitchen,40.759409999999995,-73.99179000000001,Entire home/apt,239,7,0,,,1,77
31428785,Artist's huge family home in BK with Roof Deck!,230909887,Jennie And Dan,Brooklyn,Crown Heights,40.67674,-73.93083,Entire home/apt,133,2,7,2019-07-01,1.24,1,41
30565107,Quiet but close to Main Street.Flushing Chinatown,229309933,Jeniffer,Queens,Flushing,40.76389,-73.82349,Shared room,49,1,3,2019-06-23,0.94,2,90
9756258,Room for Female-Upper West Side,11513145,Jessica,Manhattan,Upper West Side,40.78641,-73.97739,Private room,65,1,2,2016-01-08,0.05,1,0
19924521,Artist Loft in Prime trendy East Williamsburg!,53710434,Luisa,Brooklyn,Bushwick,40.70208,-73.93258,Entire home/apt,85,5,2,2019-05-21,0.32,1,49
506575,Bronx Room Near Yankees + Harlem,2001830,Jose And Ysaira,Bronx,Morris Heights,40.84937,-73.91328,Private room,45,3,190,2019-06-06,2.21,2,329
10231294,Cozy private room with own TV,52577963,Mark,Queens,Woodhaven,40.69454,-73.85041,Private room,45,5,34,2019-06-10,0.85,6,212
30289305,New York Getaway Beautiful Room,212263525,SamariSankofa,Manhattan,Harlem,40.81051,-73.94014,Private room,100,1,8,2019-06-03,1.26,3,253
9464605,Private Cozy BR near Union Square - FEMALE only,5776966,Lily,Manhattan,Gramercy,40.73683,-73.98191,Private room,61,3,21,2019-07-05,0.47,1,16
22793472,"Spacious Room in Prime Prospect Heights, Brooklyn",168416827,Tom,Brooklyn,Prospect Heights,40.674040000000005,-73.96395,Private room,69,4,16,2019-06-21,0.95,1,300
34981637,bay ridge & sunset park furnished apartment,263564234,Nony,Brooklyn,Bay Ridge,40.63087,-74.02006,Entire home/apt,4200,60,0,,,1,90
34511726,One Bedroom Apartment Near Prospect Park,260475429,Zahira,Brooklyn,Kensington,40.64221,-73.98125999999999,Entire home/apt,125,2,1,2019-06-09,1.0,1,74
