id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30398077,A large Sunny Bedroom in Astoria,gAAAAABddcx9jOgITEXL5Zgg-OB1KXkgtgAoq7H4y_TeIjpU2AztUQE26NEDtqIVI76h0qJewp5UjPMUubQQMhAN0lIOMyt3Dg==,gAAAAABddcx90B_KDG2HXzQVHtlmhzYu6pu-poTAU2HQ3FyFNVtrv94Zol8UGzr3uIPYiEzUhY3gGOYkoB-atg4GQD6kRxmf7w==,Queens,Astoria,40.7686,-73.91354,Private room,120,2,4,2019-05-13,0.62,2,0
31205829,Bedroom in Bushwick!,gAAAAABddcx9NAomn1HwV6WPHAXRDB0Vlevd8sMPY9lGyKApD02PQfiqbdBRpdq91UTZm_RCn-X-fOHQeLqhMdPItq5SJEd_Fg==,gAAAAABddcx9YZWiAYa0HcCmko_g_9FdcM4vIyCcC2l-c99dLh_Wb8reLdLfKTu1t3LMZ5yZdPIfgT6kwGSswrqrOAhoZw2wqg==,Brooklyn,Bushwick,40.69984,-73.92163000000002,Private room,40,2,14,2019-06-25,2.28,1,54
22636145,Private Suite in NYC 15 minutes to Times Square,gAAAAABddcx9pUqpxwwu69_L0Jp6XIwLJRBUpZ5PosmQrhvx03ucvMWiRoNHaDZuYUqRQdiSPQhQoiQonMMldP2vtYrn2QwxXQ==,gAAAAABddcx9NFsSEzJEuna56WNm8Mhvf_0SUcB_8mScvv3lyIy_DXwaUtVy3glIlc3lOGDwKhrr18GB6fWlR3SuChUVrYBBwA==,Queens,Sunnyside,40.74648,-73.91919,Private room,60,1,76,2019-06-30,4.43,1,301
293837,"Big Apt for Funky Art /Music Lovers, Outdoor Patio",gAAAAABddcx9XGq81g-fArKPtr-J6OzFci7s8cB2mJO3NGuXrFlWQ1lf23oqdo4uQd5glBGlzEE5HJXhG2M0w5CWPZY5wdSA7A==,gAAAAABddcx9VPUKmpmj1VcF2fK4q43cAL-tGn3JVjAYrk42X5xFqqDydAEGFYayUuXHuiVthe5KGov9eD3XxvZlXi_iQSGiKA==,Brooklyn,Williamsburg,40.70736,-73.94331,Entire home/apt,157,4,54,2019-06-11,0.66,2,12
39282,Indie-Chic Share In Williamsburg,gAAAAABddcx9DXejxeS51CWhWCP8c4S8_V_wo0vRvIaTsdeOWl3A3K_S9GZPMlMRN82jyzVa7HXnDFaIejr6FFU24miFn-emvQ==,gAAAAABddcx9rsqMhB3dL34O0OizqyVYEZyWfhBZvLKSZEdBlzL6p7u-nNdCBAFyissDrQH9hrVdIHiwWd5zIsS38QMHzyz8WA==,Brooklyn,Williamsburg,40.71088,-73.95055,Private room,69,4,202,2019-05-28,1.86,2,53
21983105,Cute Loft in the Heart of Greenpoint Brooklyn!,gAAAAABddcx96WX9RwdIpJ-eSZjxWSKTZJufnpVJufdSkwDjtZdjzMTSR-uOhISyku0i74I7WBkXxo72tQFyy5-xEXUg_t9sZQ==,gAAAAABddcx9Q9m2ZXpNDi8-jKo9_qgLBprC28YJZdnWV2Iz-BmMd090EAQIw6CYun1H_9n-0FOCluVMw-PhaEjKPP85u_dhXQ==,Brooklyn,Greenpoint,40.72549,-73.94453,Entire home/apt,120,3,0,,,1,0
23566549,Harlem Gem,gAAAAABddcx9Zt7FWIiwxG3Qik5pzlKphvBW-wt7A75CgtRZDMFwU4KK3o3Daj9dv0FgAjut4uR3D0bgImZe0FxjhYOqDOJyIg==,gAAAAABddcx9ipu3PLXhm-AjQuFYcC563ge7kAoQtp5YWKC92XC0nZHonLfBx4EH6RD2YoIEZIeUEnuVnchE5GZ8LD5AEbppig==,Manhattan,Harlem,40.81061,-73.95125,Entire home/apt,150,2,12,2019-07-06,0.8,1,0
2477138,Private Room: The cheapest deal!!,gAAAAABddcx9Q_E-JObJMAo6tkF22FDB5YXrOW6D4Y4fIFg6aIkucN1hIbNberuLJXbekoWramQL8ypEVTo29womvejlxANy1g==,gAAAAABddcx9i1oPlt_oGi0YVL_Qfbk7PrMvi9Rm6EoeiZpLW9uxbBAurTb06hhYaBkX_tm6coqObotgdjLK-cEvvEGTcE70zQ==,Queens,Ozone Park,40.67948,-73.85335,Private room,30,7,0,,,1,0
11089123,Awesome bedroom in 2br apartment <3,gAAAAABddcx9d6cQEze3En5wExI4CZLwBB44Ou7THtO9y_3RXtBh-KpjfOWI0WDs9fjIrTrND1lfK_-eBeSVEXpsm8nv5fEuog==,gAAAAABddcx9Bo2_F2B2YrKjmfilbNkffJare5n8fOECdxEDbdTqbe90om5SSAcTEqx5hoPYecTqtVjIW_1e5Hfe7w0uYNhAMw==,Manhattan,Lower East Side,40.72118,-73.98875,Private room,100,3,19,2019-04-30,0.46,4,303
34865775,Lovely LES apartment,gAAAAABddcx96vCFkF68lJR42YNJ0Vga1B5Qnikjo-E197M3v_bXjH9WsphuAH2BpzEoUnIH9WPe_5XGuAYC8DFhI8l2ZH2f_Q==,gAAAAABddcx9yLKjlzCiQmb7JZ_VsUeas-FSQIQrLX2aDJ1lIAKHBT0IVAo-6LgNoFPXIb0C0_n-YCkTEI8_6fsHTVdBaCaGBQ==,Manhattan,Lower East Side,40.72081,-73.99069,Entire home/apt,110,7,2,2019-06-23,2.0,1,0
